time,_start,_stop,_time,_field_cdi,_field_depth,_field_dmin,_field_felt,_field_gap,_field_lat,_field_lon,_field_mag,_field_mmi,_field_nst,_field_rms,_field_sig,_field_tsunami,magType_mb,magType_mb_lg,magType_md,magType_ml,magType_mwr,magType_mww,net_ak,net_ci,net_hv,net_nc,net_ok,net_pr,net_us
2023-02-19 12:16:58.020000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:16:58.020000+00:00,0.0,29.53,0.01774,0,186.0,38.8236656,-122.8123322,1.12,0.0,7,0.24,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 12:18:03.814000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:18:03.814000+00:00,0.0,75.0,0.0,0,0.0,59.1826,-153.193,1.9,0.0,0,0.31,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 12:21:05.619000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:21:05.619000+00:00,0.0,10.0,7.519,0,60.0,-12.7679,66.3649,4.7,0.0,63,0.37,340,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 12:24:38.413000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:24:38.413000+00:00,0.0,122.2,0.0,0,0.0,59.8592,-153.3164,1.4,0.0,0,0.31,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 12:26:32.840000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:26:32.840000+00:00,0.0,4.45,0.1354,0,89.0,33.2718333,-116.4306667,0.98,0.0,29,0.2,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 12:31:25.910000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:31:25.910000+00:00,0.0,9.59,0.1296,0,176.0,35.7046667,-117.515,0.88,0.0,10,0.2,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 12:42:29.260000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:42:29.260000+00:00,0.0,1.86,0.01016,0,95.0,38.7811661,-122.723999,1.33,0.0,10,0.02,27,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 12:42:48.140000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 12:42:48.140000+00:00,0.0,1.82,0.01109,0,81.0,38.7809982,-122.7228317,1.1,0.0,14,0.02,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 13:08:13.712000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:08:13.712000+00:00,0.0,10.0,8.457,0,86.0,-58.4136,-23.1988,5.0,0.0,37,0.57,385,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 13:08:59.855000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:08:59.855000+00:00,0.0,3.1,0.0,0,0.0,65.1269,-148.3693,1.8,0.0,0,0.9,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 13:25:55.678000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:25:55.678000+00:00,0.0,0.1,0.0,0,0.0,62.3651,-149.1846,1.8,0.0,0,0.9,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 13:40:59.140000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:40:59.140000+00:00,0.0,81.77,0.3133,0,198.0,18.5686666666667,-65.6586666666667,3.2,0.0,18,0.16,158,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2023-02-19 13:45:33.400000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 13:45:33.400000+00:00,0.0,0.16,0.1489,0,156.0,39.4080009,-122.9410019,1.52,0.0,11,0.14,36,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 14:01:29.796000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:01:29.796000+00:00,0.0,10.4,0.0,0,0.0,56.8739,-157.8688,2.0,0.0,0,0.53,62,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 14:05:22.670000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:05:22.670000+00:00,0.0,10.42,0.7543,0,256.0,17.763,-68.4881666666667,3.21,0.0,11,0.34,159,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2023-02-19 14:08:28.290000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:08:28.290000+00:00,0.0,16.73,0.03169,0,74.0,33.7103333,-116.7521667,0.56,0.0,27,0.1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 14:10:57.446000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:10:57.446000+00:00,0.0,10.0,7.04,0,79.0,-13.6013,172.1246,4.9,0.0,34,0.83,369,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 14:18:24.479000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:18:24.479000+00:00,0.0,132.0,0.0,0,0.0,60.2149,-152.9591,2.2,0.0,0,0.96,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 14:21:37.207000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:21:37.207000+00:00,0.0,62.347,1.38,0,104.0,-10.3243,161.0267,4.5,0.0,23,0.57,312,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 14:25:31.314000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:25:31.314000+00:00,0.0,31.5,0.0,0,0.0,58.1732,-154.7236,1.4,0.0,0,0.68,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 14:26:20.836000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:26:20.836000+00:00,3.1,3.615,0.427,4,255.0,34.6284,33.0052,3.6,0.0,7,0.22,201,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2023-02-19 14:40:53.468000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:40:53.468000+00:00,0.0,13.0,0.0,0,0.0,63.3003,-149.5715,1.5,0.0,0,0.23,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 14:53:56.770000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:53:56.770000+00:00,0.0,1.51,0.01113,0,84.0,38.8199997,-122.7965012,0.29,0.0,8,0.01,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 14:54:03.483000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 14:54:03.483000+00:00,0.0,88.6,0.0,0,0.0,60.7856,-152.2746,1.9,0.0,0,0.45,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 15:00:54.300000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:00:54.300000+00:00,0.0,1.69,0.003648,0,72.0,38.8349991,-122.7886658,1.02,0.0,10,0.02,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 15:02:09.493000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:02:09.493000+00:00,0.0,102.6,0.0,0,0.0,60.1073,-152.3807,1.7,0.0,0,0.7,44,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 15:17:04.737000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:17:04.737000+00:00,0.0,76.725,2.077,0,108.0,2.4267,126.096,5.0,0.0,31,0.54,385,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 15:17:24.870000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:17:24.870000+00:00,0.0,12.71,0.06971,0,120.0,33.4853333,-116.4956667,0.74,0.0,22,0.2,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 15:28:56.015000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:28:56.015000+00:00,0.0,67.7,0.0,0,0.0,60.1596,-151.169,1.9,0.0,0,0.21,56,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 15:32:54.122000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:32:54.122000+00:00,0.0,135.4,0.0,0,0.0,63.2506,-150.5554,3.7,2.012,0,0.41,211,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 15:38:21.782000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:38:21.782000+00:00,0.0,81.2,0.0,0,0.0,58.5631,-153.5095,2.0,0.0,0,0.34,62,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 15:48:41.630000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:48:41.630000+00:00,0.0,16.12,0.08862,0,167.0,33.721,-116.8198333,0.56,0.0,23,0.14,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 15:55:36.428000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:55:36.428000+00:00,0.0,23.2,0.0,0,0.0,61.9188,-149.4231,1.3,0.0,0,0.2,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 15:56:10.697000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 15:56:10.697000+00:00,0.0,33.9,0.0,0,0.0,61.4941,-150.0191,1.6,0.0,0,1.21,39,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 16:02:00.400000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:02:00.400000+00:00,0.0,16.5,0.03339,0,53.0,33.7065,-116.7538333,1.17,0.0,34,0.18,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 16:07:11.410000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:07:11.410000+00:00,0.0,10.0,7.474,0,98.0,-12.8199,66.3708,5.3,0.0,25,0.79,432,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2023-02-19 16:10:22.890000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:10:22.890000+00:00,0.0,1.95,0.01447,0,80.0,38.7876663,-122.7679977,1.2,0.0,27,0.03,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 16:12:34.567000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:12:34.567000+00:00,0.0,131.524,4.027,0,94.0,-5.3873,146.6183,4.4,0.0,23,0.79,298,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 16:22:55.250000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:22:55.250000+00:00,0.0,0.76,0.01406,0,121.0,38.7476654,-122.7275009,1.48,0.0,17,0.05,34,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 16:25:34.220000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:25:34.220000+00:00,0.0,15.74,0.002937,0,42.0,33.95,-117.1711667,1.54,0.0,45,0.2,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 16:31:03.040000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:31:03.040000+00:00,0.0,1.88,0.0045,0,103.0,38.7625008,-122.7304993,1.09,0.0,10,0.02,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 16:46:09.720000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:46:09.720000+00:00,0.0,12.33,0.05249,0,216.0,17.9376666666667,-66.8403333333333,2.36,0.0,8,0.09,86,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2023-02-19 16:52:58.330000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:52:58.330000+00:00,0.0,1.88,0.003558,0,91.0,38.8278351,-122.8523331,0.44,0.0,10,0.01,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 16:57:35.200000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 16:57:35.200000+00:00,0.0,10.86,0.01122,0,167.0,38.8193321,-122.7679977,0.33,0.0,8,0.08,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 17:01:50.430000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:01:50.430000+00:00,0.0,95.2,0.0,0,0.0,59.8712,-152.764,1.5,0.0,0,0.65,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 17:13:38.260000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:13:38.260000+00:00,0.0,8.15,0.09115,0,63.0,35.9178333,-117.7295,0.72,0.0,10,0.06,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 17:26:54.410000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:26:54.410000+00:00,0.0,1.93,0.01145,0,53.0,38.8338318,-122.8040009,1.34,0.0,20,0.01,28,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 17:27:50.410000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:27:50.410000+00:00,0.0,56.6,0.0,0,0.0,61.6228,-150.5016,1.5,0.0,0,0.46,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 17:28:21.220000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:28:21.220000+00:00,0.0,1.67,0.003908,0,61.0,38.8266678,-122.8519974,1.08,0.0,21,0.02,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 17:37:46.260000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:37:46.260000+00:00,0.0,2.24,0.01347,0,80.0,38.788166,-122.7663345,0.75,0.0,11,0.02,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 17:42:35.430000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:42:35.430000+00:00,0.0,2.05,0.009241,0,116.0,38.8218346,-122.7656631,1.52,0.0,22,0.03,36,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 17:57:10.963000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 17:57:10.963000+00:00,0.0,1.0,0.0,0,0.0,56.2555,-149.2246,2.9,0.0,0,0.61,129,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 18:01:14.721000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 18:01:14.721000+00:00,0.0,51.5,0.0,0,0.0,59.2233,-152.257,2.1,0.0,0,0.39,68,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 18:09:43.680000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 18:09:43.680000+00:00,0.0,1.28,0.01107,0,133.0,38.7723351,-122.7213364,1.12,0.0,8,0.01,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 18:11:05.930000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 18:11:05.930000+00:00,0.0,-0.75,0.01011,0,145.0,38.7713318,-122.7213364,0.85,0.0,5,0.05,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 18:19:27.719000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 18:19:27.719000+00:00,0.0,133.5,0.0,0,0.0,60.1969,-153.1817,2.2,0.0,0,1.01,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 18:47:57.545000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 18:47:57.545000+00:00,0.0,0.0,0.0,0,0.0,63.1902,-151.3309,1.8,0.0,0,0.86,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-02-19 18:54:03.750000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 18:54:03.750000+00:00,0.0,14.67,0.09006,0,81.0,33.4013333,-116.6513333,0.54,0.0,21,0.17,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 18:55:42.802000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 18:55:42.802000+00:00,0.0,130.444,0.782,0,90.0,42.7977,143.1312,5.0,0.0,144,0.77,385,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-02-19 19:11:02.151000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 19:11:02.151000+00:00,0.0,10.0,1.766,0,296.0,43.3965,-127.3047,3.2,0.0,20,0.93,158,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2023-02-19 19:11:09.200000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 19:11:09.200000+00:00,0.0,1.78,0.01165,0,54.0,38.8349991,-122.8116684,0.85,0.0,14,0.01,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 19:18:48.560000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 19:18:48.560000+00:00,0.0,0.97,0.01374,0,34.0,38.7709999,-122.7481689,2.35,0.0,50,0.07,85,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2023-02-19 19:21:59.550000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 19:21:59.550000+00:00,0.0,3.64,0.09647,0,65.0,35.9068333,-117.7348333,0.92,0.0,15,0.22,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2023-02-19 19:30:23.480000+00:00,2023-02-19 12:04:53.069418+00:00,2023-02-20 12:04:53.069418+00:00,2023-02-19 19:30:23.480000+00:00,0.0,1.22,0.01157,0,68.0,38.7716675,-122.7360001,1.08,0.0,14,0.02,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0
